"","numpolic","puisveh","sex","bonusmalus","ageveh","nb","sinistre","agecond","valeurvehi","garantie","carbrantutil","USAGEE","zone"
"105","1100006119",6,1,1,"Véhicule récente",1,23075.38,"Actif",2499000,"Garan1",1,"Affaire","B"
"106","1100000747",6,1,0.65,"Véhicule ancienne",2,13500,"Jeune actif",2699000,"Garan2",0,"Fonctionnaire","C"
"107","1100006137",7,1,1,"Véhicule très récente",2,13220,"Jeune",2329000,"Garan2",1,"Affaire","E"
"108","1100006855",5,1,1,"Véhicule récente",1,66995,"Jeune",2649000,"Garan2",0,"Affaire","D"
"109","1100000785",6,1,1,"Véhicule ancienne",1,46101.42,"Jeune actif",2699000,"Garan2",0,"Affaire","A"
"110","1100006739",4,1,1,"Véhicule ancienne",2,87700,"Personne âgée",2999000,"Garan2",0,"Affaire","F"
"111","1100000745",6,1,1,"Véhicule ancienne",2,7647.31,"Jeune",3555000,"Garan3",0,"Affaire","A"
"112","1100004840",4,1,1,"Véhicule ancienne",2,6000,"Jeune actif",2021000,"Garan2",0,"Commerce","E"
"113","1100006343",3,1,1,"Véhicule ancienne",1,27700,"Actif",2214000,"Garan2",0,"Affaire","C"
"114","1100005762",3,1,1,"Véhicule ancienne",1,18800,"Actif",3215000,"Garan3",0,"Affaire","F"
"115","1100002421",5,1,1,"Véhicule ancienne",1,250000,"Actif",4215000,"Garan2",0,"Affaire","C"
"116","1100001843",7,1,1,"Véhicule très ancienne",1,8700,"Jeune",2800000,"Garan2",0,"Affaire","B"
"117","1100005609",5,1,1,"Véhicule très ancienne",1,10000,"Personne âgée",2740000,"Garan2",0,"Affaire","C"
"118","1100005868",4,0,1,"Véhicule très ancienne",1,11000,"Jeune actif",3128000,"Garan2",0,"Affaire","B"
"119","1100006355",5,0,1,"Véhicule récente",1,130000,"Personne âgée",3197000,"Garan2",0,"Affaire","F"
