"id"	"annee"	"agemoy"	"etp"	"prod"	"cap"	"nace"	"sect"
1309	2006	40.351351351	30	880	85	10712	"M"
1310	2006	39.724137931	27	1345	614	25120	"M"
1311	2006	42.68	24	1843	248	10130	"M"
1312	2006	36.219512195	50	4243	620	28130	"M"
1313	2006	33.679245283	80	6316	695	10393	"M"
1314	2006	42.673913043	48	9487	650	12000	"M"
1315	2006	40.393939394	33	1786	62	16100	"M"
1316	2006	41	23	1263	928	13100	"M"
1317	2006	43	27	2106	19	23610	"M"
1318	2006	37.282051282	37	1927	62	29200	"M"
1319	2006	37.586206897	28	1704	250	10840	"M"
1320	2006	33.511627907	41	2248	62	28220	"M"
1321	2006	43.064516129	26	2079	316	10520	"M"
1322	2006	34.344827586	28	1576	62	31010	"M"
1323	2006	40.3875	86	4458	1070	28250	"M"
1324	2006	36.37254902	255	14589	2950	28250	"M"
1325	2006	38.353846154	61	5829	2000	27402	"M"
1326	2006	36.2	21	1481	38	25120	"M"
1327	2006	38.672131148	66	3197	1500	26110	"M"
1328	2006	40.75	39	1672	62	18140	"M"
1329	2006	37.15625	31	1733	62	18120	"M"
1330	2006	40.166666667	25	1120	2479	13930	"M"
1331	2006	41.2	60	6150	1240	20300	"M"
1332	2006	38.141104294	168	8574	310	18120	"M"
1333	2006	37.333333333	98	5869	372	10820	"M"
1334	2006	41.322580645	33	1443	1760	10510	"M"
1335	2006	35.795918367	60	3909	50	14300	"M"
1336	2006	38.518518519	25	1402	1135	10730	"M"
1337	2006	38.869565217	21	2646	119	28299	"M"
1338	2006	41.155555556	46	2311	769	23610	"M"
1339	2006	39.52284264	186	17675	6217	28110	"M"
1340	2006	40.619047619	21	2056	125	14130	"M"
1341	2006	43.759615385	104	8034	4000	20160	"M"
1342	2006	40.615384615	38	3711	186	23630	"M"
1343	2006	44.133333333	32	1701	240	16100	"M"
1344	2006	35.58	50	3075	74	26200	"M"
1345	2006	42.678571429	27	2078	496	21209	"M"
1346	2006	37.265108444	4947	379147	52000	29100	"M"
1347	2006	37.282089552	2561	171457	72000	29100	"M"
1348	2006	44.378378378	38	2620	273	27120	"M"
1349	2006	35.637647059	431	35381	3590	10860	"M"
1350	2006	39.390243902	39	2495	263	18120	"M"
1351	2006	43.318181818	68	4222	375	32123	"M"
1352	2006	39.615384615	26	3862	82	23630	"M"
1353	2006	34.131147541	56	3187	1903	10820	"M"
1354	2006	39.272727273	32	3109	277	23990	"M"
1355	2006	41.524879615	708	70012	51378	17120	"M"
1356	2006	39.782608696	22	635	2350	28130	"M"
1357	2006	36.25	46	3145	372	25110	"M"
1358	2006	36.875	33	2304	205	28220	"M"
1359	2006	41.208333333	29	1165	403	25120	"M"
